level_0,index,Unnamed: 0,title,comment,date,platform,product,is.flavor,is.packaging,is.expiration,is.price,is.source,is.logistic,is.ingredient,sentiment_score
950,975,1164,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,还没吃，不晓得效果怎么样，买给老人的,2021-01-18 21:01,JD.com,SLEEP,False,False,False,False,False,False,False,0.16763185857696017
955,980,1169,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,没吃，希望效果好。日期比较新。,2020-11-10 19:59,JD.com,SLEEP,False,False,False,False,False,False,False,0.771436958880593
967,992,1181,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,特地吃了2盒来评价，对我来说没什么效果，该睡不着还是睡不着，可能因人而异吧，不会回购,2021-01-01 01:49,JD.com,SLEEP,False,False,False,False,False,False,False,0.6618693055351437
968,993,1182,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,味道酸酸的，有水果味，服用后，效果还不怎么样？,2020-11-20 08:55,JD.com,SLEEP,False,False,False,False,False,False,False,0.36081352733182614
969,994,1183,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,不是很甜，感觉吃橡皮糖一样，其实都是心理作用，先看看有没有效果吧,2020-11-11 21:48,JD.com,SLEEP,False,False,False,False,False,False,False,0.4201082149883877
970,995,1184,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,最近失眠较为严重，吃这个还是有点效果的，感觉到困意，坚持一段时间再看看。,2020-10-22 16:58,JD.com,SLEEP,False,False,False,False,False,False,False,0.5345165439166373
980,1005,1194,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,说实话，真的是没有什么效果，吃了之后睡眠还是就那样吧。就跟吃软糖一样。,2020-12-10 08:09,JD.com,SLEEP,False,False,False,False,False,False,False,0.7059163324976642
981,1006,1195,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,一点效果也没用，很酸号还提速,2020-12-09 21:36,JD.com,SLEEP,False,False,False,False,False,False,False,0.35428975476546376
984,1009,1198,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,吃了一次，好像有点效果。,2020-11-15 10:20,JD.com,SLEEP,False,False,False,False,False,False,False,0.5383908945281083
985,1010,1199,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,酸酸甜甜，就是效果不明显，也不知道管不管用,2020-11-14 17:56,JD.com,SLEEP,False,False,False,False,False,False,False,0.47223293859766013
986,1011,1200,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,昨天刚拿到晚上就吃了一粒，觉得没有效果！,2020-11-11 13:29,JD.com,SLEEP,False,False,False,False,False,False,False,0.4555213376626601
1004,1029,1218,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,包装品质：很新颖独特，方便好看 口感味道：口味很好吃，Q弹酸甜可口 不知道是不是安慰剂效果，感觉助眠还是不错的,01.22,Tmall,SLEEP,False,False,False,False,False,False,False,0.20486969192362803
1005,1030,1219,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,糖果非常不错，吃起来很甜，就跟真的糖果一样！效果也很不错！,01.17,Tmall,SLEEP,False,False,False,False,False,False,False,0.9461922485805059
1007,1032,1221,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,吃了水果味口感不错，送的东西也喜欢，效果好一定回购,01.11,Tmall,SLEEP,False,False,False,False,False,False,False,0.45113349729409635
1010,1035,1224,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,包装超级好看有质感的糖果 酸酸甜甜的那种 吃完之后过一会儿就有困意了 推荐推荐！还赠送了一片眼罩 非常贴心了！准备下次入入别的功效的糖,01.21,Tmall,SLEEP,False,False,False,False,False,False,False,0.7078481429841755
